"ID","answered_all","Duration..in.seconds.","RecordedDate","UserLanguage","Dem_age","Dem_gender","Dem_edu","Dem_edu_mom","Dem_employment","Country","Dem_Expat","Dem_state","Dem_maritalstatus","Dem_dependents","Dem_riskgroup","Dem_isolation","Dem_isolation_adults","Dem_isolation_kids","AD_gain","AD_loss","AD_check","Scale_PSS10_UCLA_1","Scale_PSS10_UCLA_2","Scale_PSS10_UCLA_3","Scale_PSS10_UCLA_4","Scale_PSS10_UCLA_5","Scale_PSS10_UCLA_6","Scale_PSS10_UCLA_7","Scale_PSS10_UCLA_8","Scale_PSS10_UCLA_9","Scale_PSS10_UCLA_10","Scale_SLON_1","Scale_SLON_2","Scale_SLON_3","OECD_people_1","OECD_people_2","OECD_insititutions_1","OECD_insititutions_2","OECD_insititutions_3","OECD_insititutions_4","OECD_insititutions_5","OECD_insititutions_6","Corona_concerns_1","Corona_concerns_2","Corona_concerns_3","Corona_concerns_4","Corona_concerns_5","Trust_countrymeasure","Compliance_1","Compliance_2","Compliance_3","Compliance_4","Compliance_5","Compliance_6","born_92","experience_war","experience_war_TXT","war_injury","loss_during_war","time_spent_in_war","time_spent_in_war_TXT","Scale_UCLA_TRI_1","Scale_UCLA_TRI_2","Scale_UCLA_TRI_3","Scale_UCLA_TRI_4","PS_PTSD_1","PS_PTSD_2","PS_PTSD_3","PS_PTSD_4","PS_PTSD_5","BFF_15_1","BFF_15_2","BFF_15_3","BFF_15_4","BFF_15_5","BFF_15_6","BFF_15_7","BFF_15_8","BFF_15_9","BFF_15_10","BFF_15_11","BFF_15_12","BFF_15_13","BFF_15_14","BFF_15_15","Expl_Distress_1","Expl_Distress_2","Expl_Distress_3","Expl_Distress_4","Expl_Distress_5","Expl_Distress_6","Expl_Distress_7","Expl_Distress_8","Expl_Distress_9","Expl_Distress_10","Expl_Distress_11","Expl_Distress_12","Expl_Distress_13","Expl_Distress_14","Expl_Distress_15","Expl_Distress_16","Expl_Distress_17","Expl_Distress_18","Expl_Distress_19","Expl_Distress_20","Expl_Distress_21","Expl_Distress_22","Expl_Distress_23","Expl_Distress_24","Expl_Distress_txt","SPS_1","SPS_2","SPS_3","SPS_4","SPS_5","SPS_6","SPS_7","SPS_8","SPS_9","SPS_10","Expl_Coping_1","Expl_Coping_2","Expl_Coping_3","Expl_Coping_4","Expl_Coping_5","Expl_Coping_6","Expl_Coping_7","Expl_Coping_8","Expl_Coping_9","Expl_Coping_10","Expl_Coping_11","Expl_Coping_12","Expl_Coping_13","Expl_Coping_14","Expl_Coping_15","Expl_Coping_16","Expl_coping_txt","Expl_media_1","Expl_media_2","Expl_media_3","Expl_media_4","Expl_media_5","Expl_media_6","Final_open","PSS10_avg","SLON3_avg","neu","ext","ope","agr","con","SPS_avg","Scale_UCLA_TRI_avg"
"125006","Yes","1171","2020-03-26 14:03:05","DA","46","Female","Some College, short continuing education or equivalent","Some College or equivalent","Full time employed","Denmark","yes","Kobenhavn","Divorced/widowed","1","Yes","Life carries on with minor changes","1","0","NA","� If Program D is adopted there is 1/3 probability that nobody will die, and 2/3 probability that 600 people will die.","Not sure","1","2","1","5","4","1","5","4","1","1","1","1","3","6","8","8","10","9","9","6","7","2","4","2","4","4","4","6","6","6","1","4","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","1","6","5","5","5","6","5","6","4","3","5","6","1","6","1","4","4","1","3","3","1","1","99","6","2","3","3","6","1","1","1","1","2","1","1","1","4","1","NA","6","6","6","6","6","6","6","6","6","6","5","6","6","1","5","2","1","1","2","4","3","6","6","6","1","5","NA","2","2","2","2","2","4","NA","1.3","1.666667","1","4","5.666667","3.666667","6","6","NA"
"125007","Yes","1402","2020-03-26 14:06:40","DA","38","Female","College degree, bachelor, master","Up to 9 years of school","Full time employed","Denmark","yes","Kobenhavn","Married/cohabiting","0","No","Isolated","2","0","NA","� If Program C is adopted 400 people will die.","No","3","2","2","5","5","2","4","4","4","1","1","1","1","8","8","9","7","8","8","7","8","1","3","3","3","5","5","5","4","4","3","4","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","4","4","5","2","4","4","4","6","3","3","4","6","6","3","6","1","2","99","2","2","3","1","4","99","4","2","4","5","4","2","4","3","3","99","2","2","3","4","5","NA","6","6","6","6","6","6","5","6","6","6","5","3","5","1","4","4","1","1","4","3","3","4","3","6","1","5","Faste rutiner, muligheden for at fokusere pa noget, jeg har villet lange (i mit tilfalde motion, for min kareste rygestop)","6","5","4","2","5","4","Motion - jeg traner mere og kommer i bedre form. At jeg har en kareste og dermed ikke er alene. Mulighed for at isolere os i sommerhus, sa vi kan komme udenfor.","2","1","3.333333","3","4.333333","4.666667","5.333333","5.9","NA"
"125008","Yes","755","2020-03-26 13:54:36","DA","38","Female","College degree, bachelor, master","Some College or equivalent","Full time employed","Denmark","yes","Aarhus","Married/cohabiting","2","Yes","Life carries on with minor changes","1","2","NA","� If Program C is adopted 400 people will die.","No","3","2","4","4","3","3","4","4","3","3","2","2","4","9","9","9","10","10","10","10","9","5","5","5","5","6","5","6","6","5","3","4","4","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","4","5","3","4","5","3","2","5","4","2","5","5","5","2","5","1","5","2","1","2","6","6","5","5","6","2","6","6","6","2","2","4","4","5","3","2","2","5","1","NA","5","5","6","5","6","5","5","6","5","6","5","5","5","6","5","3","4","3","5","5","4","5","5","5","6","4","NA","6","5","4","5","5","5","NA","2.7","2.666667","4.333333","4.333333","3.666667","5","5","5.4","NA"
"125009","No","685","2020-03-27 13:53:22","DA","51","Female","Up to 12 years of school","Up to 9 years of school","Part time employed","Denmark","yes","Lyngby Taarbak","Married/cohabiting","1","Yes","Life carries on with minor changes","NA","NA","NA","� If Program C is adopted 400 people will die.","No","3","2","4","5","3","3","5","5","3","1","1","1","3","6","10","7","10","7","8","8","8","5","5","5","5","5","8","6","6","6","2","6","3","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","4","5","3","5","4","3","4","5","4","4","5","6","4","6","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2.2","1.666667","2.666667","3.666667","4","4","5","NA","NA"
"125010","No","1033","2020-03-26 13:59:00","DA","47","Female","College degree, bachelor, master","Some College or equivalent","Not employed","Denmark","yes","NA","Single","0","Not sure","Life carries on with minor changes","NA","NA","� If Program A is adopted, 200 people will be saved.","NA","No","3","4","3","5","3","2","4","3","3","2","4","1","4","5","8","7","8","8","6","8","7","NA","NA","NA","NA","NA","5","6","5","5","5","5","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","3","4","2","5","4","4","5","4","4","4","6","6","4","5","1","1","1","4","4","4","1","1","1","4","1","99","5","1","1","4","1","99","4","2","1","1","4","1","NA","6","6","4","6","6","6","6","6","5","6","5","6","5","1","1","4","1","1","5","4","4","4","1","5","6","5","NA","4","2","5","2","1","3","NA","2.6","3","2.666667","3.333333","4.333333","4.333333","4.666667","5.7","NA"
"125011","Yes","1034","2020-03-26 13:56:53","DA","44","Female","Some College, short continuing education or equivalent","Some College or equivalent","Full time employed","Denmark","yes","Favrskov","Single","0","Yes","Life carries on with minor changes","0","0","� If Program A is adopted, 200 people will be saved.","NA","No","2","1","2","5","4","3","5","4","2","2","1","1","1","7","9","7","8","8","9","9","8","1","6","3","5","5","4","6","5","2","2","4","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","3","2","5","1","4","4","2","3","4","2","3","5","5","3","4","2","4","99","3","2","2","1","99","99","5","4","5","5","5","4","3","2","3","2","2","2","1","5","5","NA","5","5","2","5","4","4","5","4","3","5","4","5","5","2","4","4","1","1","5","4","3","3","3","5","1","4","NA","4","2","2","3","2","2","NA","1.8","1","2.333333","2.666667","3","4.333333","4.333333","4.2","NA"
"125012","No","2060","2020-03-26 14:13:54","DA","66","Female","Some College, short continuing education or equivalent","NA","Retired","Denmark","yes","Fredericia","Married/cohabiting","0","Yes","Isolated","1","0","� If Program B is adopted, there is 1/3 probability that 600 people will be saved, and 2/3 probability that no people will be saved","NA","No","1","2","1","5","4","1","4","4","1","1","1","1","2","8","9","8","9","7","8","7","9","4","6","5","5","6","7","6","6","6","1","4","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","5","1","6","4","5","2","5","3","4","1","5","6","6","2","6","99","99","99","99","2","3","3","1","99","5","4","5","6","6","99","2","1","1","3","6","1","2","4","1","NA","6","6","6","6","6","6","6","6","5","6","6","6","6","6","6","6","6","1","6","6","6","6","6","6","2","6","NA","6","6","2","3","3","3","Jeg har et positivt livssyn. Har altid gang i et eller andet og har aldrig provet at kede mig. Elsker god humor og tror altid pa det bedste, indtil det modsatte bliver bevist. Opfatter mig selv som realist.  Flere svarmuligheder i skemaet passede ikke pa mig, men er besvaret bedst muligt","1.4","1.333333","2.333333","4.666667","4","5.666667","5.666667","5.9","NA"
"125013","No","758","2020-03-26 13:51:59","DA","26","Male","Some College, short continuing education or equivalent","Some College or equivalent","Full time employed","Denmark","yes","Kobenhavn","Uninformative response","0","Yes","Life carries on with minor changes","NA","NA","NA","� If Program D is adopted there is 1/3 probability that nobody will die, and 2/3 probability that 600 people will die.","No","3","2","3","4","4","2","4","3","2","2","2","2","3","9","9","7","6","6","7","8","7","NA","NA","NA","NA","NA","6","5","4","4","4","5","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","4","3","4","4","5","4","4","6","5","2","5","5","2","3","4","2","2","99","2","2","5","99","2","99","5","3","5","5","5","3","5","1","5","4","4","1","2","5","5","NA","5","5","5","5","5","5","5","5","5","5","1","5","4","4","4","2","NA","NA","4","4","2","2","3","5","2","3","NA","4","2","2","2","1","5","det nastsidste sporgsmal giver ikke mening. Selvfolgelig horer man mere om folks adfard under coronavirus i perioden med corona.","2.3","2.333333","3.333333","4","5","5","3.333333","5","NA"
"125014","Yes","1033","2020-03-26 13:56:09","DA","45","Male","College degree, bachelor, master","Some College or equivalent","Self-employed","Denmark","yes","Kobenhavn","Married/cohabiting","2","No","Isolated","1","2","� If Program A is adopted, 200 people will be saved.","NA","No","3","1","3","5","3","3","3","4","3","1","2","1","3","4","8","8","5","7","6","6","7","2","2","3","5","6","4","6","5","5","4","3","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","5","2","5","2","4","4","6","5","6","2","2","2","6","1","6","3","2","2","3","2","4","1","2","5","6","5","3","6","6","2","4","2","3","2","2","3","1","3","2","NA","6","4","6","6","6","6","6","6","6","6","5","2","5","2","4","6","2","2","5","3","5","5","3","5","1","5","NA","5","5","5","3","5","2","NA","2.3","2","3","3","5.666667","3","6","5.8","NA"
"125015","Yes","923","2020-03-26 13:54:14","DA","28","Male","Up to 9 years of school","Up to 12 years of school","Part time employed","Denmark","yes","Sonderborg","Single","0","Yes","Isolated","0","0","NA","� If Program D is adopted there is 1/3 probability that nobody will die, and 2/3 probability that 600 people will die.","No","5","4","3","3","2","2","3","2","5","1","4","1","5","7","10","6","3","8","8","7","8","6","6","6","6","4","7","6","6","6","6","6","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","6","2","5","6","6","2","5","2","5","1","6","6","4","1","3","1","1","99","6","6","1","1","99","1","6","1","6","6","6","1","6","1","6","6","6","1","1","6","1","NA","6","2","4","4","6","2","6","1","3","6","4","1","6","1","1","5","6","6","6","2","6","4","1","1","1","4","NA","5","5","3","5","5","1","NA","3.4","3.333333","3.333333","5.666667","4","6","4.333333","4","NA"
"125016","No","1113","2020-03-27 13:57:17","DA","31","Female","Some College, short continuing education or equivalent","Up to 9 years of school","Full time employed","Denmark","yes","Horsens","Married/cohabiting","0","Yes","Life carries on as usual","NA","NA","NA","� If Program C is adopted 400 people will die.","No","5","5","5","2","1","4","4","2","4","5","3","3","3","3","7","9","9","10","9","8","9","5","6","5","6","6","5","5","6","5","6","3","5","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","6","6","3","1","4","3","3","2","5","2","4","6","3","3","5","2","2","1","5","3","6","2","2","99","3","5","6","6","5","1","99","4","3","1","2","4","1","6","1","NA","3","5","2","4","2","4","3","5","5","4","2","5","6","5","5","2","2","2","5","4","1","2","5","3","4","1","Undga for mange nyheder og tal","NA","NA","NA","NA","NA","NA","NA","4.3","3","5.333333","3","3.333333","5","4","3.7","NA"
"125017","No","303","2020-03-27 13:43:18","DA","54","Male","None","Up to 6 years of school","Full time employed","Denmark","yes","Holbak","Married/cohabiting","1","Yes","Life carries on with minor changes","NA","NA","� If Program A is adopted, 200 people will be saved.","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
